postcode,regional_category,state
3097,Regional Centres and Other Regional Areas,VIC
3098,Regional Centres and Other Regional Areas,VIC
3099,Regional Centres and Other Regional Areas,VIC
3139,Regional Centres and Other Regional Areas,VIC
3211,Cities and Major Regional Centres,VIC
3212,Cities and Major Regional Centres,VIC
3213,Cities and Major Regional Centres,VIC
3214,Cities and Major Regional Centres,VIC
3215,Cities and Major Regional Centres,VIC
3216,Cities and Major Regional Centres,VIC
3217,Cities and Major Regional Centres,VIC
3218,Cities and Major Regional Centres,VIC
3219,Cities and Major Regional Centres,VIC
3220,Cities and Major Regional Centres,VIC
3221,Cities and Major Regional Centres,VIC
3222,Cities and Major Regional Centres,VIC
3223,Cities and Major Regional Centres,VIC
3224,Cities and Major Regional Centres,VIC
3225,Cities and Major Regional Centres,VIC
3226,Cities and Major Regional Centres,VIC
3227,Cities and Major Regional Centres,VIC
3228,Cities and Major Regional Centres,VIC
3229,Cities and Major Regional Centres,VIC
3230,Cities and Major Regional Centres,VIC
3231,Cities and Major Regional Centres,VIC
3232,Cities and Major Regional Centres,VIC
3233,Regional Centres and Other Regional Areas,VIC
3234,Regional Centres and Other Regional Areas,VIC
3235,Cities and Major Regional Centres,VIC
3236,Regional Centres and Other Regional Areas,VIC
3237,Regional Centres and Other Regional Areas,VIC
3238,Regional Centres and Other Regional Areas,VIC
3239,Regional Centres and Other Regional Areas,VIC
3240,Cities and Major Regional Centres,VIC
3241,Regional Centres and Other Regional Areas,VIC
3242,Regional Centres and Other Regional Areas,VIC
3243,Regional Centres and Other Regional Areas,VIC
3244,Regional Centres and Other Regional Areas,VIC
3245,Regional Centres and Other Regional Areas,VIC
3246,Regional Centres and Other Regional Areas,VIC
3247,Regional Centres and Other Regional Areas,VIC
3248,Regional Centres and Other Regional Areas,VIC
3249,Regional Centres and Other Regional Areas,VIC
3250,Regional Centres and Other Regional Areas,VIC
3251,Regional Centres and Other Regional Areas,VIC
3252,Regional Centres and Other Regional Areas,VIC
3253,Regional Centres and Other Regional Areas,VIC
3254,Regional Centres and Other Regional Areas,VIC
3255,Regional Centres and Other Regional Areas,VIC
3256,Regional Centres and Other Regional Areas,VIC
3257,Regional Centres and Other Regional Areas,VIC
3258,Regional Centres and Other Regional Areas,VIC
3259,Regional Centres and Other Regional Areas,VIC
3260,Regional Centres and Other Regional Areas,VIC
3261,Regional Centres and Other Regional Areas,VIC
3262,Regional Centres and Other Regional Areas,VIC
3263,Regional Centres and Other Regional Areas,VIC
3264,Regional Centres and Other Regional Areas,VIC
3265,Regional Centres and Other Regional Areas,VIC
3266,Regional Centres and Other Regional Areas,VIC
3267,Regional Centres and Other Regional Areas,VIC
3268,Regional Centres and Other Regional Areas,VIC
3269,Regional Centres and Other Regional Areas,VIC
3270,Regional Centres and Other Regional Areas,VIC
3271,Regional Centres and Other Regional Areas,VIC
3272,Regional Centres and Other Regional Areas,VIC
