postcode,regional_category,irsd_score,irsd_decile,seifa_population,total_population,median_hhd_income_weekly,median_mortgage_monthly,median_rent_weekly,one_parent_families,total_families,total_mortgage_dwellings,total_rental_dwellings,total_unemployed,total_labour_force,unemployment_rate,single_parent_pct,rent_to_income_ratio,unemployment_rate_log,rent_to_income_ratio_log,total_population_log,rent_to_income_winsor,rent_to_income_final,unemployment_rate_sqrt,cluster,risk_profile
3097,Regional Centres and Other Regional Areas,1104.6361036,10,1536.0,1536.0,3000.0,365.0,2706.0,94.0,1240.0,202.0,30.0,25.0,823.0,0.0304,0.0758,0.902,0.029947076367952116,0.6429059641231986,7.337587743538596,0.902,0.6429059641231986,0.17435595774162693,2,low
3099,Regional Centres and Other Regional Areas,1072.2408613,9,4993.0,4993.0,2025.0,391.0,2162.0,447.0,4319.0,826.0,166.0,100.0,2753.0,0.0363,0.1035,1.0677,0.035656677208034684,0.7264368784245873,8.515992470839718,1.0677,0.7264368784245873,0.1905255888325765,2,low
3139,Regional Centres and Other Regional Areas,1039.5075892,8,14257.0,14257.0,1820.0,355.0,1887.0,1392.0,12219.0,2675.0,457.0,221.0,7728.0,0.0286,0.1139,1.0368,0.028198654358678774,0.711379948821005,9.565073431677574,1.0368,0.711379948821005,0.16911534525287764,2,low
3211,Cities and Major Regional Centres,1008.4451458,6,1353.0,1353.0,2167.0,427.0,2005.0,129.0,1085.0,164.0,43.0,27.0,633.0,0.0427,0.1189,0.9252,0.04181350281341039,0.6550298584468173,7.21081845347222,0.9252,0.6550298584468173,0.20663978319771825,2,low
3212,Cities and Major Regional Centres,1025.811847,7,19272.0,19272.0,1733.0,370.0,1966.0,2027.0,15249.0,2923.0,1380.0,387.0,9601.0,0.0403,0.1329,1.1344,0.03950913309471249,0.7581855767391675,9.866460431699052,1.1344,0.7581855767391675,0.2007485989988473,2,low
3213,Cities and Major Regional Centres,1027.3505304,7,4753.0,4753.0,1897.0,350.0,2141.0,410.0,4106.0,770.0,163.0,91.0,2593.0,0.0351,0.0999,1.1286,0.03449804040756744,0.7554644866248069,8.46674164792014,1.1286,0.7554644866248069,0.18734993995195195,2,low
3214,Cities and Major Regional Centres,801.19226044,1,24500.0,24500.0,1265.0,270.0,1063.0,5241.0,17163.0,2253.0,4223.0,892.0,9721.0,0.0918,0.3054,0.8403,0.08782771036552019,0.6099286018090118,10.106469212026385,0.8403,0.6099286018090118,0.30298514815086236,0,high
3215,Cities and Major Regional Centres,984.1935099,4,21994.0,21994.0,1625.0,340.0,1452.0,2741.0,16495.0,2619.0,2647.0,546.0,10999.0,0.0496,0.1662,0.8935,0.048409139207687545,0.6384269683597125,9.99857043378282,0.8935,0.6384269683597125,0.22271057451320087,0,high
3216,Cities and Major Regional Centres,1038.6234443,8,60123.0,60123.0,1733.0,360.0,1724.0,5476.0,45244.0,7939.0,5855.0,1339.0,31418.0,0.0426,0.121,0.9948,0.0417175933518685,0.6905437946898304,11.004164375253117,0.9948,0.6905437946898304,0.20639767440550294,2,low
3217,Cities and Major Regional Centres,1068.2403435,9,20499.0,20499.0,1842.0,425.0,2204.0,2048.0,16708.0,3751.0,2057.0,372.0,12031.0,0.0309,0.1226,1.1965,0.030432207120201987,0.7868651844336971,9.9281801651265,1.1965,0.7868651844336971,0.17578395831246946,2,low
3218,Cities and Major Regional Centres,1038.5218839,8,14942.0,14942.0,1950.0,330.0,1752.0,1386.0,11120.0,2110.0,2311.0,321.0,8494.0,0.0378,0.1246,0.8985,0.03710308795150221,0.64106410068972,9.611998241741393,0.8985,0.64106410068972,0.1944222209522358,2,low
3219,Cities and Major Regional Centres,935.98346004,2,20309.0,20309.0,1408.0,305.0,1228.0,3004.0,14207.0,2575.0,3122.0,509.0,9932.0,0.0512,0.2114,0.8722,0.04993236874820901,0.6271142099555073,9.91886865457443,0.8722,0.6271142099555073,0.2262741699796952,0,high
3220,Cities and Major Regional Centres,1059.4198824,9,17270.0,17270.0,2100.0,360.0,1891.0,1285.0,12284.0,1914.0,2429.0,392.0,9486.0,0.0413,0.1046,0.9005,0.04046993255371322,0.6421170094471663,9.756784073343919,0.9005,0.6421170094471663,0.20322401432901577,2,low
3221,Cities and Major Regional Centres,1099.8012768,10,801.0,801.0,2167.0,370.0,2481.0,72.0,710.0,106.0,20.0,12.0,434.0,0.0276,0.1014,1.1449,0.027225986253591457,0.7630929312466121,6.687108607866515,1.1449,0.7630929312466121,0.1661324772583615,2,low
